Interest Rate,,,,(Unit : %)
Date,1Y,10Y,30Y,40Y
11/8/22,-0.095,0.267,1.57,1.697
11/9/22,-0.105,0.267,1.497,1.622
11/10/22,-0.105,0.263,1.506,1.633
11/11/22,-0.105,0.252,1.437,1.564
11/14/22,-0.105,0.259,1.485,1.618
11/15/22,-0.101,0.259,1.454,1.584
11/16/22,-0.1,0.26,1.437,1.568
11/17/22,-0.1,0.261,1.402,1.534
11/18/22,-0.095,0.267,1.41,1.537
11/21/22,-0.095,0.263,1.445,1.571
11/22/22,-0.095,0.263,1.455,1.591
11/24/22,-0.095,0.268,1.446,1.597
11/25/22,-0.095,0.275,1.474,1.613
11/28/22,-0.095,0.278,1.479,1.618
11/29/22,-0.095,0.278,1.509,1.648
11/30/22,-0.075,0.276,1.5,1.649
12/1/22,-0.085,0.276,1.505,1.66
12/2/22,-0.075,0.279,1.482,1.645
12/5/22,-0.075,0.281,1.478,1.642
12/6/22,-0.075,0.282,1.473,1.632
12/7/22,-0.075,0.281,1.466,1.615
12/8/22,-0.075,0.278,1.44,1.584
12/9/22,-0.083,0.277,1.401,1.543
12/12/22,-0.075,0.28,1.43,1.564
12/13/22,-0.081,0.278,1.403,1.537
12/14/22,-0.081,0.277,1.395,1.525
12/15/22,-0.081,0.281,1.417,1.533
12/16/22,-0.085,0.28,1.466,1.592
12/19/22,-0.075,0.282,1.51,1.639
12/20/22,-0.059,0.432,1.553,1.683
12/21/22,-0.065,0.517,1.528,1.659
12/22/22,-0.065,0.431,1.52,1.65
12/23/22,-0.055,0.424,1.495,1.621
12/26/22,-0.037,0.482,1.495,1.629
12/27/22,-0.029,0.501,1.52,1.652
12/28/22,-0.026,0.493,1.549,1.682
12/29/22,0.011,0.489,1.586,1.723
12/30/22,0.013,0.454,1.578,1.742
1/4/23,0.005,0.491,1.61,1.771
1/5/23,-0.005,0.508,1.586,1.752
1/6/23,-0.006,0.508,1.573,1.74
1/10/23,-0.004,0.509,1.617,1.779
1/11/23,-0.004,0.509,1.609,1.764
1/12/23,-0.002,0.509,1.649,1.802
1/13/23,-0.005,0.508,1.61,1.768
1/16/23,-0.005,0.51,1.559,1.714
1/17/23,0,0.512,1.546,1.673
1/18/23,-0.025,0.43,1.534,1.662
1/19/23,-0.039,0.422,1.555,1.697
1/20/23,-0.045,0.418,1.56,1.712
1/23/23,-0.045,0.396,1.561,1.72
1/24/23,-0.045,0.427,1.542,1.701
1/25/23,-0.045,0.457,1.535,1.69
1/26/23,-0.055,0.483,1.526,1.671
1/27/23,-0.055,0.497,1.574,1.697
1/30/23,-0.055,0.497,1.596,1.725
1/31/23,-0.055,0.511,1.6,1.736
2/1/23,-0.065,0.5,1.57,1.702
2/2/23,-0.065,0.515,1.531,1.656
2/3/23,-0.076,0.503,1.531,1.656
2/6/23,-0.075,0.511,1.539,1.663
2/7/23,-0.077,0.511,1.561,1.69
2/8/23,-0.077,0.511,1.544,1.676
2/9/23,-0.085,0.511,1.544,1.672
2/10/23,-0.095,0.514,1.562,1.694
2/13/23,-0.105,0.524,1.509,1.641
2/14/23,-0.111,0.524,1.505,1.637
2/15/23,-0.111,0.525,1.482,1.612
2/16/23,-0.115,0.526,1.486,1.606
2/17/23,-0.115,0.528,1.503,1.613
2/20/23,-0.112,0.53,1.507,1.611
2/21/23,-0.105,0.531,1.504,1.61
2/22/23,-0.104,0.531,1.473,1.568
2/24/23,-0.101,0.53,1.464,1.564
2/27/23,-0.087,0.532,1.455,1.561
2/28/23,-0.066,0.524,1.393,1.473
3/1/23,-0.065,0.525,1.389,1.466
3/2/23,-0.075,0.527,1.416,1.502
3/3/23,-0.076,0.527,1.443,1.538
3/6/23,-0.077,0.53,1.439,1.531
3/7/23,-0.078,0.528,1.448,1.547
3/8/23,-0.087,0.529,1.475,1.583
3/9/23,-0.077,0.53,1.475,1.591
3/10/23,-0.085,0.428,1.423,1.542
3/13/23,-0.085,0.342,1.335,1.454
3/14/23,-0.095,0.314,1.206,1.327
3/15/23,-0.106,0.36,1.323,1.454
3/16/23,-0.119,0.325,1.312,1.446
3/17/23,-0.13,0.317,1.33,1.465
3/20/23,-0.136,0.281,1.277,1.422
3/22/23,-0.125,0.378,1.34,1.479
3/23/23,-0.129,0.339,1.347,1.495
3/24/23,-0.136,0.321,1.357,1.515
3/27/23,-0.135,0.33,1.376,1.552
3/28/23,-0.134,0.337,1.292,1.451
3/29/23,-0.134,0.335,1.243,1.381
3/30/23,-0.134,0.362,1.258,1.385
3/31/23,-0.115,0.389,1.274,1.389
4/3/23,-0.095,0.422,1.335,1.446
4/4/23,-0.096,0.478,1.38,1.494
4/5/23,-0.096,0.473,1.377,1.501
4/6/23,-0.116,0.472,1.348,1.48
4/7/23,-0.117,0.462,1.318,1.437
4/10/23,-0.108,0.468,1.334,1.457
4/11/23,-0.106,0.459,1.335,1.457
4/12/23,-0.109,0.469,1.331,1.444
4/13/23,-0.116,0.465,1.305,1.42
4/14/23,-0.115,0.465,1.313,1.433
4/17/23,-0.115,0.489,1.343,1.461
4/18/23,-0.115,0.48,1.343,1.466
4/19/23,-0.115,0.48,1.326,1.459
4/20/23,-0.115,0.48,1.353,1.479
4/21/23,-0.115,0.47,1.344,1.466
4/24/23,-0.123,0.476,1.361,1.486
4/25/23,-0.115,0.486,1.348,1.476
4/26/23,-0.117,0.466,1.325,1.446
4/27/23,-0.107,0.466,1.342,1.462
4/28/23,-0.106,0.403,1.247,1.366
5/1/23,-0.105,0.413,1.279,1.408
5/2/23,-0.115,0.428,1.292,1.416
5/8/23,-0.115,0.424,1.279,1.4
5/9/23,-0.115,0.435,1.287,1.412
5/10/23,-0.126,0.425,1.278,1.404
5/11/23,-0.125,0.399,1.233,1.363
5/12/23,-0.135,0.396,1.262,1.389
5/15/23,-0.129,0.421,1.277,1.405
5/16/23,-0.129,0.406,1.256,1.388
5/17/23,-0.135,0.375,1.224,1.37
5/18/23,-0.125,0.395,1.246,1.384
5/19/23,-0.125,0.415,1.256,1.4
5/22/23,-0.125,0.397,1.238,1.372
5/23/23,-0.125,0.41,1.252,1.38
5/24/23,-0.125,0.421,1.269,1.397
5/25/23,-0.125,0.441,1.292,1.428
5/26/23,-0.125,0.432,1.265,1.404
5/29/23,-0.125,0.453,1.278,1.416
5/30/23,-0.124,0.448,1.264,1.404
5/31/23,-0.125,0.448,1.273,1.412
6/1/23,-0.125,0.434,1.277,1.422
6/2/23,-0.135,0.43,1.286,1.435
6/5/23,-0.136,0.45,1.287,1.439
6/6/23,-0.136,0.44,1.273,1.423
6/7/23,-0.136,0.434,1.269,1.423
6/8/23,-0.137,0.455,1.287,1.443
6/9/23,-0.145,0.451,1.278,1.432
6/12/23,-0.138,0.446,1.282,1.432
6/13/23,-0.149,0.438,1.26,1.403
6/14/23,-0.145,0.447,1.259,1.388
6/15/23,-0.139,0.447,1.256,1.38
6/16/23,-0.139,0.422,1.252,1.375
6/19/23,-0.135,0.413,1.239,1.367
6/20/23,-0.135,0.406,1.225,1.358
6/21/23,-0.141,0.393,1.226,1.358
6/22/23,-0.145,0.395,1.24,1.375
6/23/23,-0.152,0.39,1.235,1.37
6/26/23,-0.151,0.378,1.208,1.344
6/27/23,-0.144,0.398,1.213,1.343
6/28/23,-0.144,0.414,1.226,1.36
6/29/23,-0.134,0.409,1.231,1.366
6/30/23,-0.125,0.426,1.262,1.404
7/3/23,-0.125,0.432,1.262,1.403
7/4/23,-0.125,0.4,1.255,1.405
7/5/23,-0.126,0.384,1.227,1.384
7/6/23,-0.116,0.409,1.227,1.375
7/7/23,-0.106,0.439,1.266,1.409
7/10/23,-0.107,0.468,1.309,1.447
7/11/23,-0.118,0.454,1.292,1.434
7/12/23,-0.118,0.48,1.322,1.459
7/13/23,-0.119,0.47,1.331,1.475
7/14/23,-0.129,0.48,1.365,1.508
7/18/23,-0.12,0.485,1.395,1.545
7/19/23,-0.126,0.466,1.361,1.512
7/20/23,-0.127,0.465,1.339,1.488
7/21/23,-0.127,0.481,1.34,1.484
7/24/23,-0.139,0.461,1.304,1.45
7/25/23,-0.132,0.466,1.323,1.471
7/26/23,-0.123,0.451,1.301,1.46
7/27/23,-0.121,0.443,1.292,1.448
7/28/23,-0.104,0.551,1.356,1.506
7/31/23,-0.085,0.605,1.458,1.603
8/1/23,-0.095,0.596,1.491,1.64
8/2/23,-0.085,0.63,1.503,1.662
8/3/23,-0.085,0.654,1.532,1.688
8/4/23,-0.085,0.643,1.553,1.719
8/7/23,-0.087,0.625,1.541,1.699
8/8/23,-0.087,0.61,1.499,1.656
8/9/23,-0.095,0.572,1.458,1.608
8/10/23,-0.088,0.591,1.495,1.654
8/14/23,-0.085,0.621,1.532,1.687
8/15/23,-0.091,0.632,1.537,1.688
8/16/23,-0.091,0.631,1.52,1.672
8/17/23,-0.075,0.657,1.577,1.722
8/18/23,-0.081,0.632,1.565,1.71
8/21/23,-0.075,0.657,1.586,1.733
8/22/23,-0.075,0.673,1.598,1.741
8/23/23,-0.079,0.682,1.61,1.752
8/24/23,-0.085,0.654,1.582,1.718
8/25/23,-0.085,0.663,1.589,1.721
8/28/23,-0.085,0.669,1.593,1.724
8/29/23,-0.085,0.65,1.581,1.716
8/30/23,-0.076,0.661,1.594,1.727
8/31/23,-0.075,0.657,1.598,1.736
9/1/23,-0.075,0.636,1.569,1.712
9/4/23,-0.075,0.652,1.582,1.732
9/5/23,-0.076,0.666,1.586,1.738
9/6/23,-0.076,0.662,1.574,1.723
9/7/23,-0.086,0.667,1.581,1.727
9/8/23,-0.097,0.658,1.593,1.738
9/11/23,-0.065,0.715,1.63,1.774
9/12/23,-0.065,0.716,1.637,1.775
9/13/23,-0.065,0.715,1.605,1.741
9/14/23,-0.065,0.715,1.601,1.73
9/15/23,-0.059,0.715,1.598,1.734
9/19/23,-0.055,0.727,1.622,1.758
9/20/23,-0.061,0.731,1.618,1.758
9/21/23,-0.055,0.758,1.607,1.738
9/22/23,-0.055,0.754,1.611,1.751
9/25/23,-0.063,0.738,1.612,1.75
9/26/23,-0.063,0.752,1.619,1.75
9/27/23,-0.064,0.747,1.627,1.753
9/28/23,-0.055,0.765,1.634,1.76
9/29/23,-0.064,0.774,1.649,1.776
10/2/23,-0.055,0.779,1.672,1.803
10/3/23,-0.065,0.764,1.676,1.807
10/4/23,-0.064,0.808,1.711,1.842
10/5/23,-0.064,0.803,1.741,1.858
10/6/23,-0.064,0.802,1.75,1.871
10/10/23,-0.065,0.776,1.737,1.867
10/11/23,-0.065,0.776,1.716,1.848
10/12/23,-0.072,0.756,1.682,1.81
10/13/23,-0.075,0.765,1.699,1.828
10/16/23,-0.071,0.757,1.716,1.845
10/17/23,-0.071,0.787,1.755,1.887
10/18/23,-0.06,0.811,1.767,1.893
10/19/23,-0.06,0.845,1.8,1.915
10/20/23,-0.06,0.841,1.817,1.929
10/23/23,-0.048,0.865,1.868,1.98
10/24/23,-0.058,0.846,1.847,1.965
10/25/23,-0.058,0.856,1.826,1.943
10/26/23,-0.047,0.884,1.844,1.955
10/27/23,-0.047,0.875,1.831,1.94
10/30/23,-0.036,0.895,1.848,1.948
10/31/23,-0.006,0.952,1.864,1.952
11/1/23,-0.005,0.959,1.88,1.969
11/2/23,-0.025,0.92,1.851,1.949
11/6/23,-0.024,0.876,1.814,1.912
11/7/23,-0.023,0.882,1.81,1.911
11/8/23,-0.033,0.852,1.773,1.873
11/9/23,-0.043,0.843,1.726,1.826
11/10/23,-0.042,0.859,1.743,1.834
11/13/23,-0.051,0.879,1.773,1.865
11/14/23,-0.061,0.86,1.763,1.862
11/15/23,-0.075,0.807,1.717,1.82
11/16/23,-0.081,0.798,1.729,1.83
11/17/23,-0.09,0.765,1.694,1.794
11/20/23,-0.089,0.756,1.685,1.781
11/21/23,-0.089,0.712,1.622,1.72
11/22/23,-0.078,0.742,1.669,1.773
11/24/23,-0.058,0.786,1.699,1.796
11/27/23,-0.056,0.787,1.716,1.819
11/28/23,-0.055,0.768,1.719,1.83
11/29/23,-0.055,0.695,1.656,1.791
11/30/23,-0.036,0.691,1.683,1.811
12/1/23,-0.055,0.72,1.683,1.81
12/4/23,-0.055,0.712,1.688,1.816
12/5/23,-0.046,0.687,1.683,1.807
12/6/23,-0.055,0.667,1.626,1.748
12/7/23,-0.024,0.771,1.709,1.816
12/8/23,-0.023,0.791,1.759,1.86
12/11/23,-0.022,0.798,1.763,1.87
12/12/23,-0.032,0.758,1.738,1.849
12/13/23,-0.045,0.709,1.67,1.778
12/14/23,-0.031,0.693,1.642,1.752
12/15/23,-0.017,0.728,1.652,1.757
12/18/23,-0.02,0.689,1.635,1.748
12/19/23,-0.019,0.663,1.592,1.695
12/20/23,-0.045,0.581,1.522,1.634
12/21/23,-0.049,0.61,1.558,1.671
12/22/23,-0.042,0.651,1.619,1.732
12/25/23,-0.048,0.637,1.614,1.728
12/26/23,-0.037,0.657,1.627,1.743
12/27/23,-0.039,0.624,1.587,1.708
12/28/23,-0.046,0.616,1.628,1.759
12/29/23,-0.026,0.647,1.662,1.793
1/4/24,-0.025,0.649,1.666,1.801
1/5/24,-0.045,0.634,1.64,1.773
1/9/24,-0.055,0.614,1.626,1.763
1/10/24,-0.055,0.621,1.618,1.75
1/11/24,-0.075,0.605,1.615,1.744
1/12/24,-0.085,0.591,1.61,1.745
1/15/24,-0.085,0.563,1.58,1.715
1/16/24,-0.065,0.596,1.597,1.735
1/17/24,-0.065,0.612,1.619,1.767
1/18/24,-0.065,0.656,1.699,1.849
1/19/24,-0.065,0.671,1.745,1.907
1/22/24,-0.065,0.657,1.741,1.904
1/23/24,-0.065,0.643,1.712,1.862
1/24/24,-0.028,0.721,1.775,1.928
1/25/24,-0.035,0.75,1.795,1.943
1/26/24,-0.045,0.721,1.782,1.924
1/29/24,-0.045,0.727,1.799,1.932
1/30/24,-0.045,0.714,1.774,1.906
1/31/24,-0.035,0.737,1.79,1.921
2/1/24,-0.045,0.699,1.757,1.894
2/2/24,-0.025,0.667,1.723,1.856
2/5/24,-0.005,0.725,1.762,1.895
2/6/24,-0.005,0.725,1.753,1.895
2/7/24,-0.013,0.714,1.74,1.876
2/8/24,-0.015,0.706,1.741,1.864
2/9/24,-0.002,0.731,1.758,1.876
2/13/24,0.005,0.736,1.761,1.88
2/14/24,-0.001,0.764,1.774,1.896
2/15/24,0,0.736,1.77,1.896
2/16/24,0,0.737,1.75,1.869
2/19/24,0.005,0.738,1.749,1.861
2/20/24,0.005,0.742,1.725,1.834
2/21/24,0.012,0.732,1.707,1.817
2/22/24,0.03,0.727,1.699,1.817
2/26/24,0.033,0.699,1.666,1.787
2/27/24,0.034,0.704,1.675,1.794
2/28/24,0.034,0.709,1.709,1.826
2/29/24,0.054,0.724,1.734,1.857
3/1/24,0.035,0.728,1.722,1.845
3/4/24,0.036,0.725,1.743,1.869
3/5/24,0.027,0.714,1.738,1.869
3/6/24,0.026,0.725,1.73,1.865
3/7/24,0.028,0.741,1.738,1.882
3/8/24,0.037,0.746,1.759,1.9
3/11/24,0.048,0.777,1.785,1.928
3/12/24,0.051,0.783,1.789,1.935
3/13/24,0.052,0.773,1.776,1.919
3/14/24,0.059,0.792,1.801,1.939
3/15/24,0.059,0.802,1.812,1.956
3/18/24,0.081,0.774,1.78,1.924
3/19/24,0.06,0.744,1.772,1.92
3/21/24,0.061,0.762,1.781,1.92
3/22/24,0.071,0.762,1.786,1.932
3/25/24,0.063,0.752,1.796,1.944
3/26/24,0.063,0.757,1.791,1.94
3/27/24,0.055,0.738,1.763,1.921
3/28/24,0.054,0.73,1.75,1.904
3/29/24,0.054,0.75,1.789,1.939
4/1/24,0.035,0.765,1.806,1.96
4/2/24,0.025,0.77,1.821,1.982
4/3/24,0.016,0.77,1.813,1.979
4/4/24,0.026,0.78,1.81,1.979
4/5/24,0.036,0.771,1.806,1.967
4/8/24,0.047,0.792,1.823,1.984
4/9/24,0.037,0.786,1.836,1.995
4/10/24,0.048,0.801,1.857,2.017
4/11/24,0.068,0.854,1.907,2.065
4/12/24,0.079,0.864,1.894,2.056
4/15/24,0.084,0.864,1.894,2.058
4/16/24,0.095,0.87,1.907,2.071
4/17/24,0.1,0.889,1.92,2.079
4/18/24,0.101,0.871,1.894,2.055
4/19/24,0.091,0.837,1.869,2.027
4/22/24,0.102,0.885,1.907,2.066
4/23/24,0.099,0.886,1.927,2.094
4/24/24,0.1,0.891,1.927,2.099
4/25/24,0.101,0.896,1.927,2.094
4/26/24,0.101,0.925,1.936,2.103
4/30/24,0.095,0.879,1.911,2.073
5/1/24,0.105,0.898,1.94,2.102
5/2/24,0.095,0.908,1.952,2.12
5/7/24,0.097,0.881,1.945,2.119
5/8/24,0.107,0.887,1.937,2.114
5/9/24,0.12,0.916,1.944,2.125
5/10/24,0.128,0.917,1.965,2.144
5/13/24,0.143,0.946,1.99,2.17
5/14/24,0.153,0.969,2.01,2.2
5/15/24,0.164,0.962,2.01,2.204
5/16/24,0.155,0.934,1.993,2.194
5/17/24,0.166,0.957,2.011,2.215
5/20/24,0.167,0.987,2.034,2.237
5/21/24,0.168,0.992,2.039,2.237
5/22/24,0.172,1.007,2.084,2.301
5/23/24,0.169,1.011,2.1,2.316
5/24/24,0.17,1.016,2.104,2.302
5/27/24,0.172,1.031,2.108,2.303
5/28/24,0.173,1.047,2.12,2.312
5/29/24,0.202,1.084,2.148,2.342
5/30/24,0.214,1.066,2.132,2.326
5/31/24,0.234,1.08,2.155,2.346
6/3/24,0.227,1.071,2.168,2.373
6/4/24,0.218,1.043,2.149,2.353
6/5/24,0.198,1.014,2.112,2.314
6/6/24,0.179,0.972,2.039,2.232
6/7/24,0.181,0.986,2.043,2.237
6/10/24,0.202,1.045,2.118,2.314
6/11/24,0.195,1.035,2.111,2.311
6/12/24,0.182,1,2.084,2.283
6/13/24,0.173,0.982,2.063,2.247
6/14/24,0.154,0.95,2.044,2.227
6/17/24,0.145,0.947,2.068,2.271
6/18/24,0.141,0.963,2.089,2.292
6/19/24,0.137,0.955,2.071,2.271
6/20/24,0.138,0.973,2.068,2.259
6/21/24,0.148,0.999,2.086,2.275
6/24/24,0.15,1.01,2.108,2.3
6/25/24,0.149,1.02,2.121,2.312
6/26/24,0.15,1.044,2.155,2.352
6/27/24,0.18,1.092,2.188,2.383
6/28/24,0.172,1.062,2.153,2.349
7/1/24,0.175,1.083,2.163,2.351
7/2/24,0.176,1.104,2.174,2.352
7/3/24,0.166,1.1,2.185,2.364
7/4/24,0.148,1.086,2.188,2.364
7/5/24,0.148,1.072,2.2,2.379
7/8/24,0.15,1.092,2.2,2.385
7/9/24,0.14,1.079,2.205,2.398
7/10/24,0.131,1.093,2.22,2.415
7/11/24,0.131,1.089,2.221,2.419
7/12/24,0.122,1.055,2.177,2.387
7/16/24,0.111,1.032,2.168,2.375
7/17/24,0.115,1.042,2.173,2.376
7/18/24,0.121,1.047,2.16,2.361
7/19/24,0.141,1.053,2.148,2.345
7/22/24,0.132,1.063,2.177,2.377
7/23/24,0.149,1.073,2.181,2.385
7/24/24,0.16,1.084,2.197,2.414
7/25/24,0.189,1.078,2.168,2.381
7/26/24,0.19,1.068,2.154,2.369
7/29/24,0.182,1.041,2.13,2.346
7/30/24,0.184,1.012,2.131,2.36
7/31/24,0.275,1.07,2.176,2.396
8/1/24,0.286,1.046,2.152,2.36
8/2/24,0.256,0.974,2.098,2.302
8/5/24,0.167,0.781,1.956,2.157
8/6/24,0.187,0.908,2.118,2.318
8/7/24,0.167,0.899,2.189,2.401
8/8/24,0.17,0.855,2.107,2.306
8/9/24,0.198,0.881,2.081,2.274
8/13/24,0.203,0.869,2.081,2.282
8/14/24,0.2,0.833,2.051,2.255
8/15/24,0.224,0.861,2.051,2.255
8/16/24,0.245,0.898,2.068,2.275
8/19/24,0.257,0.914,2.093,2.304
8/20/24,0.247,0.916,2.118,2.327
8/21/24,0.248,0.896,2.102,2.319
8/22/24,0.259,0.9,2.086,2.298
8/23/24,0.256,0.919,2.086,2.298
8/26/24,0.251,0.91,2.093,2.31
8/27/24,0.261,0.906,2.077,2.296
8/28/24,0.263,0.921,2.073,2.294
8/29/24,0.253,0.917,2.097,2.317
8/30/24,0.254,0.922,2.111,2.343
9/2/24,0.247,0.936,2.124,2.362
9/3/24,0.257,0.952,2.116,2.35
9/4/24,0.249,0.917,2.091,2.324
9/5/24,0.25,0.904,2.07,2.301
9/6/24,0.262,0.88,2.045,2.27
9/9/24,0.265,0.925,2.076,2.299
9/10/24,0.267,0.926,2.09,2.314
9/11/24,0.258,0.886,2.077,2.31
9/12/24,0.259,0.896,2.074,2.314
9/13/24,0.247,0.878,2.045,2.286
9/17/24,0.241,0.863,2.019,2.258
9/18/24,0.221,0.86,2.023,2.258
9/19/24,0.227,0.889,2.082,2.327
9/20/24,0.228,0.898,2.103,2.362
9/24/24,0.2,0.848,2.083,2.341
9/25/24,0.201,0.852,2.061,2.318
9/26/24,0.192,0.872,2.101,2.363
9/27/24,0.172,0.849,2.122,2.381
9/30/24,0.234,0.894,2.092,2.35
10/1/24,0.225,0.894,2.094,2.35
10/2/24,0.206,0.859,2.087,2.346
10/3/24,0.207,0.867,2.1,2.357
10/4/24,0.208,0.886,2.1,2.353
10/7/24,0.231,0.926,2.131,2.385
10/8/24,0.232,0.926,2.126,2.388
10/9/24,0.233,0.936,2.143,2.412
10/10/24,0.237,0.96,2.171,2.451
10/11/24,0.248,0.95,2.154,2.44
10/15/24,0.263,0.976,2.155,2.441
10/16/24,0.264,0.957,2.147,2.428
10/17/24,0.275,0.967,2.13,2.399
10/18/24,0.282,0.972,2.139,2.405
10/21/24,0.286,0.963,2.156,2.424
10/22/24,0.307,0.983,2.188,2.468
10/23/24,0.309,0.983,2.188,2.468
10/24/24,0.31,0.964,2.184,2.46
10/25/24,0.311,0.955,2.159,2.428
10/28/24,0.315,0.981,2.196,2.469
10/29/24,0.306,0.981,2.188,2.473
10/30/24,0.298,0.961,2.201,2.492
10/31/24,0.289,0.947,2.189,2.492
11/1/24,0.321,0.952,2.189,2.496
11/5/24,0.315,0.944,2.193,2.499
11/6/24,0.337,0.993,2.206,2.502
11/7/24,0.359,1.016,2.226,2.523
11/8/24,0.36,1.011,2.218,2.502
11/11/24,0.364,1.009,2.222,2.503
11/12/24,0.375,1.019,2.234,2.516
11/13/24,0.397,1.053,2.246,2.541
11/14/24,0.408,1.069,2.267,2.579
11/15/24,0.424,1.082,2.264,2.579
11/18/24,0.425,1.083,2.267,2.584
11/19/24,0.436,1.078,2.254,2.572
11/20/24,0.438,1.077,2.255,2.563
11/21/24,0.46,1.106,2.25,2.553
11/22/24,0.468,1.092,2.255,2.547
11/25/24,0.474,1.084,2.255,2.548
11/26/24,0.468,1.074,2.251,2.543
11/27/24,0.478,1.083,2.272,2.579
11/28/24,0.471,1.065,2.26,2.587
11/29/24,0.482,1.064,2.252,2.568
12/2/24,0.498,1.091,2.256,2.569
12/3/24,0.49,1.091,2.26,2.573
12/4/24,0.461,1.068,2.249,2.573
12/5/24,0.454,1.082,2.257,2.59
12/6/24,0.446,1.068,2.236,2.57
12/9/24,0.431,1.054,2.228,2.565
12/10/24,0.435,1.078,2.232,2.563
12/11/24,0.445,1.083,2.231,2.55
12/12/24,0.429,1.065,2.217,2.53
12/13/24,0.412,1.055,2.22,2.551
12/16/24,0.418,1.084,2.253,2.579
12/17/24,0.42,1.094,2.264,2.592
12/18/24,0.422,1.079,2.24,2.568
12/19/24,0.424,1.097,2.245,2.572
12/20/24,0.39,1.07,2.229,2.559
12/23/24,0.395,1.081,2.236,2.564
12/24/24,0.397,1.086,2.228,2.545
12/25/24,0.399,1.086,2.219,2.536
12/26/24,0.409,1.103,2.231,2.536
12/27/24,0.413,1.119,2.259,2.56
12/30/24,0.427,1.111,2.252,2.556
1/6/25,0.449,1.145,2.274,2.583
1/7/25,0.459,1.148,2.278,2.6
1/8/25,0.46,1.182,2.294,2.619
1/9/25,0.452,1.178,2.285,2.619
1/10/25,0.443,1.202,2.301,2.639
1/14/25,0.479,1.246,2.33,2.669
1/15/25,0.504,1.255,2.347,2.691
1/16/25,0.511,1.207,2.318,2.679
1/17/25,0.512,1.207,2.29,2.649
1/20/25,0.506,1.199,2.273,2.631
1/21/25,0.513,1.194,2.265,2.609
1/22/25,0.535,1.205,2.261,2.595
1/23/25,0.537,1.215,2.269,2.591
1/24/25,0.556,1.238,2.277,2.591
1/27/25,0.543,1.225,2.269,2.579
1/28/25,0.535,1.201,2.251,2.557
1/29/25,0.546,1.201,2.245,2.547
1/30/25,0.548,1.221,2.274,2.578
1/31/25,0.56,1.25,2.29,2.592
2/3/25,0.556,1.254,2.302,2.602
2/4/25,0.568,1.282,2.323,2.608
2/5/25,0.57,1.289,2.323,2.608
2/6/25,0.572,1.27,2.269,2.544
2/7/25,0.594,1.307,2.29,2.569
2/10/25,0.593,1.318,2.294,2.573
2/12/25,0.597,1.346,2.302,2.577
2/13/25,0.59,1.357,2.318,2.59
2/14/25,0.586,1.357,2.31,2.573
2/17/25,0.589,1.39,2.306,2.569
2/18/25,0.596,1.432,2.335,2.587
2/19/25,0.594,1.432,2.327,2.568
2/20/25,0.608,1.441,2.322,2.551
2/21/25,0.603,1.427,2.335,2.556
2/25/25,0.593,1.387,2.319,2.54
2/26/25,0.604,1.373,2.319,2.553
2/27/25,0.608,1.398,2.338,2.588
2/28/25,0.601,1.378,2.35,2.622
3/3/25,0.617,1.412,2.353,2.619
3/4/25,0.619,1.428,2.36,2.619
3/5/25,0.62,1.448,2.389,2.655
3/6/25,0.623,1.517,2.462,2.707
3/7/25,0.623,1.523,2.496,2.718
3/10/25,0.639,1.575,2.544,2.753
3/11/25,0.611,1.511,2.53,2.746
3/12/25,0.623,1.527,2.535,2.756
3/13/25,0.625,1.549,2.547,2.779
3/14/25,0.607,1.522,2.535,2.785
3/17/25,0.597,1.513,2.55,2.804
3/18/25,0.604,1.507,2.542,2.809
3/19/25,0.616,1.52,2.543,2.804
3/21/25,0.62,1.527,2.539,2.795
3/24/25,0.636,1.549,2.543,2.798
3/25/25,0.648,1.578,2.541,2.792
3/26/25,0.65,1.583,2.543,2.793
3/27/25,0.652,1.588,2.53,2.742
3/28/25,0.644,1.551,2.486,2.677
3/31/25,0.64,1.497,2.48,2.69
4/1/25,0.652,1.511,2.498,2.716
4/2/25,0.644,1.481,2.444,2.651
4/3/25,0.585,1.366,2.38,2.603
4/4/25,0.514,1.176,2.303,2.524
4/7/25,0.488,1.129,2.282,2.536
4/8/25,0.51,1.268,2.479,2.728
4/9/25,0.473,1.284,2.643,2.874
4/10/25,0.517,1.379,2.611,2.843
4/11/25,0.483,1.357,2.661,2.909
4/14/25,0.466,1.35,2.756,3.001
4/15/25,0.507,1.377,2.733,3.002
4/16/25,0.498,1.305,2.646,2.928
4/17/25,0.525,1.32,2.607,2.87
4/18/25,0.52,1.302,2.65,2.914
4/21/25,0.53,1.302,2.677,2.948
4/22/25,0.541,1.323,2.673,2.938
4/23/25,0.55,1.34,2.626,2.888
4/24/25,0.542,1.328,2.634,2.906
4/25/25,0.545,1.347,2.639,2.937
4/28/25,0.548,1.329,2.639,2.938
4/30/25,0.551,1.33,2.645,2.936
5/1/25,0.521,1.291,2.653,2.943
5/2/25,0.512,1.283,2.693,2.984
5/7/25,0.518,1.318,2.791,3.083
5/8/25,0.529,1.343,2.779,3.081
5/9/25,0.532,1.37,2.802,3.127
5/12/25,0.547,1.405,2.836,3.156
5/13/25,0.568,1.46,2.779,3.097
5/14/25,0.563,1.466,2.811,3.126
5/15/25,0.565,1.489,2.839,3.168
5/16/25,0.556,1.466,2.84,3.18
5/19/25,0.571,1.494,2.851,3.178
5/20/25,0.583,1.53,2.969,3.288
5/21/25,0.558,1.53,2.976,3.3
5/22/25,0.56,1.573,2.999,3.336
